sentence,monetary_topic
"When there is economic slack and monetary accommodation, short-run demand effects are stronger, and the boost in output can lead to a decline in the public-debt-to-GDP ratio",0
Macro-prudential tools should be the first line of defense against financial stability risks,0
"As a result, central banks have also taken a number of unconventional measures, including direct intervention in credit markets",0
"Some reforms have more potential to boost demand in the short term, such as those that lower barriers for new firms to enter product and services markets",0
"Looking forward, the appreciation of exchange rates since the first quarter will help support domestic demand, consistent with broader need to rebalance the global economy towards higher consumption in those economies that had accumulated reserves before the financial crisis",0
"But it would be critical to repair bank balance sheets to reduce financial fragmentation, improve the monetary transmission mechanism, and allow for a sustained recovery in investment",0
Capital inflows may require adjustments to the policy mix,0
"If inflows raise macro- and financial-stability concerns, macroeconomic policies (for example, adjusting the fiscal-monetary policy mix, exchange rate appreciation, and some reserve accumulation) should be complemented with strengthened prudential measures (for example, loan to value ratios, funding composition restrictions)",0
Some emerging economies should remain watchful of inflationary pressures and should not lower interest rates further,1
The reduction in inflation toward the 4.percent target by 2017 will require a tight monetary policy stance,0
"Moreover, QE should be supported by a more balanced policy mix comprising fiscal support, balance sheet repair, and structural reforms",0
"In order to enhance the credibility of the exercise and make it easier to raise private capital, greater clarity is needed on the availability of public backstops as safety nets",0
"On October 31 st , the Bank of Japan (BoJ) expanded its Quantitative and Qualitative Monetary Easing (QQE) framework by accelerating purchases of JGBs (and extending their maturity) and tripling the purchases of private assets, which should support domestic demand",0
"Indeed, policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular, to the extent that credit markets remain impaired, monetary tightening may need to be led by a raising of policy rates",1
"Indeed, policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular, to the extent that credit markets remain impaired, monetary tightening may need to be led by a raising of policy rates",0
"Vulnerabilities may also be building in the non-bank financial sector, with a rapid expansion of agency real estate investment trusts (REITs), weakening underwriting standards in the leveraged loan market (covenant-lite loans issuance has returned to pre- crisis levels), and higher credit and liquidity risks taken by pension funds and insurance companies",0
"A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output, it would also support external adjustment, while at the same time having positive spillovers to other euro area economies where there is still cyclical slack",0
"However, if the economy is at risk of overheating and there are inflationary pressures, reducing interest rates is not an attractive policy option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.",0
"In particular, to ensure that the transmission mechanism for monetary policy remains effective, efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households",0
The IMF prepared detailed country-by-county recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors’ Meetings in July 2016,0
Monetary policy has remained highly accommodative in many economies,0
"Finally, new policy frameworks—compatible with a needed shift in the pattern of global demand—would facilitate adjustment to a more sustainable and resilient configuration for global growth in the years ahead.",0
"The Federal Reserve, Bank of England, and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps if needed",1
"However, if low growth persists and monetary policy options are depleted, the flexibility in the current fiscal framework may need to be used to respond in these circumstances",0
"Emerging G-20 economies need to be nimble in dealing with potentially adverse spillovers from advanced economies, and continue to strengthen macroeconomic policy frameworks",0
"This is needed not only to halt and ultimately reverse the large rise in public debt ratios, but also to help create room for policy maneuver to support private demand",0
"To safeguard the current growth momentum, the macroeconomic policy mix should be adjusted to changing circumstances",0
5 A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances,0
"Further actions, including structural reforms, and cooperation are needed across the membership to lay the foundations for stronger and more balanced medium-term growth",0
Accelerated financial sector restructuring and reform should thus be top priorities,0
3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks that the liquidity shock could have triggered cascading insolvencies in the financial sector,0
"However, the unbalanced recovery across economies suggests that challenges faced by central banks differ, with well-crafted communication continuing to play a critical role, given that protracted monetary support has raised financial stability concerns: In the United States, with growth expected to increase above trend in the remainder of 2014 and 2015, the main policy issue is the appropriate speed of monetary policy normalization",1
"While macroeconomic policies are but one determinant of the current account, they have contributed to maintain excess imbalances, which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries (see IMF 2017 External Sector Report)",0
"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes",0
"Excess-deficit economies, on the other hand, need to implement structural reforms to improve competitiveness, which may include wage moderation in line with productivity growth",0
"Exchange rate flexibility can usefully cushion the impact of adverse external shocks, provided that the effects of currency depreciations on balance sheets and domestic inflation rates are contained",0
The three requirements for a more resilient recovery are sustained but gradual adjustment,0
"Elsewhere, however, in some other countries where debt levels are relatively low, monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening.",1
A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,0
"Room for monetary easing is also more limited where strong credit expansion continues, or where currencies are undervalued",1
"In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending (for example, Saudi Arabia)",0
"At the same time, strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and non-bank financial sector owing to ultra low interest rates",0
"Given a path for fiscal policies, monetary policy can be set to achieve a desired level of overall stimulus, tightening as needed to counter inflationary risks and maintain price stability",1
"The timing, pace, and sequence of exiting from supportive policies will vary by country, depending on how robust the recovery of private demand as well as financial conditions",0
"With multiple interdependent factors holding back growth, policymakers have to work all necessary levers— structural policies (including to promote financial stability and trade), fiscal policies, and monetary policy",0
"In Japan, accelerating structural reforms is critical to boost confidence and contribute to higher domestic demand and favorable wage-price dynamics",0
"When risk sentiment changes, having stronger macroeconomic fundamentals as well as the policy space and credibility to react have proven to be critical to reduce volatility and negative spillovers (see Annex)",0
"In advanced economies, accommodative monetary policy remains essential",1
"For oil exporters, the optimal policy response to the sharp decline in prices will depend on the buffers accumulated during the years of high oil revenue and exchange rate regimes",0
Maintaining unconventional monetary policy measures does not necessarily constrain increases in policy rates,1
"This task requires a faster recognition of non-performing assets, stronger bank capital buffers, and better corporate debt restructuring mechanisms",0
Policies need to accelerate the rebalancing of demand from public to private sources in advanced economies and from external deficit to surplus economies,0
"In this context, the Bank of Japan should stand ready for further easing",1
"However, reserve stockpiles have been reduced, leaving less room for maneuver",0
Appropriate sequencing is important for an orderly withdrawal,0
Reinforcing the growth momentum requires the right mix of demand support and supply reforms,0
"This would help reduce the burden on monetary and fiscal policy to support the recovery, and minimize the real consequences of deleveraging",0
"Though there has been progress on banking system repair, the pace is too slow",0
"Policy requirements differ vastly among emerging economies, but many can afford to stay on hold or ease if downside risks materialize given the receding inflation pressures",1
"From an external perspective, however, there is concern that quantitative easing in the United States could result in a flood of capital",0
These economies should also consider greater emphasis on fiscal tightening.,0
Maintaining an expansionary fiscal stance has a clear and direct impact on the build-up of debt,0
The boost to demand from lower oil prices is thus welcome,0
"More policy ambition and cooperation are needed to achieve the G-20’s shared objectives of strong, sustainable, and balanced growth",0
"The ECB’s monetary policy should be highly accommodative, consistent with its mandate of ensuring price stability",1
"To avoid the risk of a hard landing and lower their exposure to capital flow reversals, emerging economies should rebuild policy buffers",0
"The Fed has signaled that interest rates are likely to remain low for an extended period, while other major central banks have indicated that monetary policy would only be tightened once the macroeconomic environment improves and the outlook for inflation picks up",1
"Importantly, the type, scale, and timing of adjustment should not be the same, but depend on each country’s own circumstances, or efforts may become self-defeating",0
"Maintaining an accommodative monetary policy stance, which can be reversed quickly, has few obvious direct downsides",0
"Second, additional short-term demand support from fiscal policies where output gaps are negative can accelerate the benefits of certain structural reforms, such as measures that raise labor supply, which are particularly relevant for European G-20 members but also several emerging economies (see next section)",0
Fears of high inflation appear overstated—central banks have the tools needed to mop up liquidity and tighten their policy stance should inflation expectations unexpectedly rise,1
Financial stability risks related to a prolonged period of low interest rates bring macro- prudential policies to the forefront,0
"Authorities should aim to protect the poor and vulnerable groups through targeted social safety nets, but avoid policies that seek to insulate domestic markets from high world prices (for example, export bans or subsidies), which dampens the supply response and amplifies global price volatility",0
"At a global level, there is a pressing need to complete and implement the regulatory reform agenda",0
"In the United States, the main near-term policy question is the appropriate timing and pace of monetary policy normalization",1
Repair and reform of financial systems—critical to the normalization of credit conditions in several countries and to prevent contagion—needs to be accelerated,0
Policymakers in Brazil should begin unwinding monetary stimulus as the recovery proceeds to ensure inflation expectations remain well anchored,0
"Importantly, countries that do implement strong recapitalization programs should not be left to fall into a downward spiral for lack of adequate external support",0
"For these measures to succeed, they need to be supported by growth and fiscal reforms",0
"The Fund’s financial stress indices for the major advanced economies have all declined sharply, with some falling below pre-Lehman levels, although they remain significantly elevated relative to levels prior to the crisis",0
"Accommodative monetary policies remain essential in many advanced economies, given still sizable output gaps and low inflation",1
"More specifically: In India, while external vulnerabilities have moderated and inflation has fallen faster than expected, persistently high inflation expectations and large fiscal deficits remain key macroeconomic challenges",0
Accelerated financial sector restructuring and reform should thus be top priorities,0
"Given the deterioration in the inflation and economic outlook and risks of stagnation, the need for a comprehensive strategy to boost growth is particularly relevant in the euro area and Japan",0
"In a number of countries, it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets",0
Raising both actual and potential output through a combination of demand support and structural reforms remains a key policy objective,0
"This could be achieved by lower ECB monetary policy interest rates, for which room exists, and, as needed, further unconventional measures",0
"Large negative growth surprises in euro area countries should not trigger additional consolidation efforts, which would be self-defeating",0
A number of emerging market economies are already operating at or above capacity,0
The reform agenda is unfinished and needs to be reinvigorated to strengthen the global financial system,0
Private debt and financial vulnerabilities require attention,0
advanced economies with large surpluses should prioritize structural reforms in labor and product markets that would bolster domestic demand,0
"Some emerging economies can afford to maintain current monetary policy settings or ease if downside risks materialize, while others may have to take measures to gradually tighten financial conditions",1
"In some (for example India), the magnitude of fiscal problems requires an overhaul of tax and subsidy policies.",0
"Additional unconventional monetary support (targeted long term refinancing operations, lower collateral haircuts) could also help reduce fragmentation and restore monetary transmission",1
Emerging economies face both near-term and medium-term challenges to support growth,0
"In the United States, lower oil prices contribute positively to the recovery and there is a strong case to abstract from the effects of temporary oil supply shocks unless they translate into second round effects in wage and price settings (for example a persistent decline in longer term inflation expectations)﴿",0
"In contrast, monetary policy in the euro area and Japan is expected to remain more accommodative for an extended period as they fight low inflation (euro area) or try to persistently raise inflation and inflation expectations (Japan)",0
"In many emerging market economies, macroeconomic policy space to support growth remains limited, but lower oil prices will alleviate inflationary pressures, allowing for a more gradual tightening of monetary policy",1
"Hence, on balance fiscal consolidation should generally take priority, all else given",0
Deploying macro-prudential tools to limit financial risks— which in some cases may require changes to regulatory and legal structures—can reduce the need for monetary policy response to financial stability concerns,0
"Credible macroeconomic policies and frameworks, alongside exchange rate flexibility are needed to weather the turbulence",0
"In the euro area, the overall fiscal stance planned for 2014 is neutral, although a number of countries are still tightening, even if at a slower pace",0
"In many advanced economies, monetary policy can afford to remain accommodative for an extended period, given subdued price pressures",0
"Moreover, where credit intermediation remains impaired, central banks should continue to explore unconventional measures to stimulate economic activity and improve credit flows",1
"In emerging economies, cyclical positions and vulnerabilities vary across countries, with some facing more intense market pressures, and policy responses will need to be country specific",0
and exits in emerging economies with excessive current account surpluses should be accompanied by exchange rate appreciation,0
"In economies where recovery is already well established, policymakers will need to pay increasing attention to building inflationary pressure",1
"With monetary policy set to remain appropriately supportive, this will be helped by the recommended use of fiscal space—for example, to raise potential growth or reduce still-open output gaps—in G-20 excess surplus economies (such as Germany and Korea) and gradual fiscal consolidation in excess deficit countries (United Kingdom, United States)",0
"In the United States, following the increase of the federal funds rate in mid-December, further actions should be well-communicated and based on clear evidence of wage or price pressures and an assessment that inflation is set to rise steadily toward the Federal Reserve’s two percent medium-term objective",0
"Widespread financial, fiscal, and structural impediments need to be addressed to bolster growth and financial stability",0
"Interest rates will need to be raised as economies recover and output gaps are reduced, but the path should take account of the withdrawal of fiscal support",1
"Interest rates will need to be raised as economies recover and output gaps are reduced, but the path should take account of the withdrawal of fiscal support",0
"Where inflationary pressures are diminishing and fiscal fundamentals are weak, monetary policy can be eased",1
"This should be anchored by credible plans for debt reduction—notably, for the United States and Japan",0
Considerable uncertainty remains about the commitment of the government to put in place the complete package of policies required for a successful outcome,0
Sovereigns under stress need to continue to adjust and request appropriate EFSF/ESM support if needed,0
"The recent pause in monetary policy easing has been appropriate given the risks to inflation from ruble depreciation, external risks, and the need to build credibility under the newly introduced inflation targeting regime.",1
The strengthening of the recovery and unwinding of accommodative monetary policy in advanced economies will lead to tighter external financing conditions and could generate further bouts of volatility in capital flows,0
"In the near term, priorities include:  weathering the current turbulence and capital outflows and  choosing counter-cyclical policy to close output gaps where possible, or the unavoidable pro-cyclical policies for those lacking policy space/credibility",0
The right policies will also help to reduce external imbalances,0
"This requires slowing credit expansion and switching from off-budget investment to more on-budget, pro-consumption measures",0
"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes",0
"Meanwhile, the ECB’s commitment to act on secondary markets via the OMT is critical to address elevated risk premia due to convertibility concerns within the euro area, while maintaining a very accommodative monetary policy should support demand",0
"In Latin America, economies are operating close to speed limit, which restricts available policy room",0
"The scope to do so will require credible macroeconomic policies and frameworks, which has proven essential in coping with volatile financial conditions in the past",0
"In advanced economies, macroeconomic policies should support growth",0
Government budgetary policies are in the process of moving from short-term stimulus to medium-term consolidation,0
"In the euro area, EMU-wide policies should support individual countries’ efforts to repair public and private balance sheets and implement structural reforms to restore competitiveness",0
"Current plans to end tapering later this year and increase policy rates from the middle of next year appear appropriate, given the sizable slack",1
"Tighten monetary policy and, notably in key surplus economies, allow for greater exchange rate flexibility",0
Conventional monetary policy should be eased further,1
Fiscal reforms that have long-term effects but that do not affect the economic recovery in the short-term (such as entitlement reforms) should thus be implemented soon to enhance credibility,0
"At the same time, the design of fiscal policy should support growth, including by enhancing infrastructure investment (see Annex) where needs have been identified, there is slack in the economy, and investment processes are relatively efficient (for example, Germany and the United States)",0
"The situation is more varied across emerging G-20 economies, but monetary accommodation will likely need to be withdrawn sooner",1
"Sharp declines in food and fuel prices have provided the room for central banks in many of these economies to lower interest rates, and they have been appropriately cautious in order to avoid disorderly exchange rate moves or triggering capital outflows",1
"The recent additional monetary easing is welcome, and further progress is needed in addressing structural weaknesses and improving the quality of fiscal adjustment",0
"Moreover, if deflation risks materialize and monetary policy options are depleted, the escape clauses in the fiscal framework may need to be used to respond in these circumstances",0
"To secure a strong and durable recovery, policies need a decisive upgrade",0
The timing of the policy rate increase should be attuned to inflation and labor market developments,1
"In economies where adjustment is unavoidable, allowing exchange rate depreciation will be a critical buffer to cushion the impact of the shock (for example, Russia), which highlights the challenges faced by oil exporters with fixed exchange rate regimes (for example, Venezuela, Ecuador)",0
"Reversing financial fragmentation (for example, reducing financial home bias, improving cross-border bank flows",0
"To balance inflation concerns—particularly in conjunction with the large increase in government indebtedness and central bank balance sheets—and the risk that liquidity is prematurely withdrawn while the nascent recovery is still fragile, monetary authorities will need to communicate clearly the objectives and the tools of their unconventional policies, as well as their exit strategies",0
Room for monetary easing may also be limited where a strong credit expansion continues or where currencies are undervalued,1
"In Japan, incomes policies and structural reforms that raise productivity are vital to tackle medium-term risks coming from continuing lackluster growth and the overburdening of monetary policy",0
"Monetary policy tightening may encourage these flows, which will boost credit and thus reduce its effectiveness",1
"Notably, raising actual and potential growth remains a key objective",0
"Major central banks have acted aggressively, easing policy rates to near zero and using their balance sheets to directly support intermediation",0
"That said, forceful monetary easing, including unconventional measures, large- scale provision of liquidity, and the (support for and) resolution of systemically important institutions have reduced extreme stress in financial conditions that prevailed in late-2008 (Figure 3)",0
"the most important risk from this policy stance in the current low inflationary environment is the potential for liquidity spillovers, particularly to domestic asset markets and emerging economies",0
"Where necessary, fiscal consolidation should remain growth-friendly and support policies that foster innovation and productivity, while protecting the most vulnerable",0
Key elements are Monetary policy in the major advanced economies should remain accommodative,0
Supporting growth and creating jobs is the main challenge in the major advanced economies,0
"In advanced economies, while exceptional monetary accommodation, including through UMP, continues to provide important support to the recovery, potential side effects should be monitored closely and addressed as needed",0
"Advanced economies should maintain supportive policies, given still substantial output gaps and below-target inflation",0
"Nevertheless, working towards meeting the official primary surplus target with sustainable policies while continuing to wind down policy lending is important to put gross public debt on a firmly downward path and boost market confidence",0
"Even as vulnerabilities are addressed, emerging economies can continue to be a strong locomotive of global economic and trade growth through well-sequenced structural reforms that provide near-term demand support",0
"In economies with broadly balanced external positions, monetary tightening may be complicated, as it could amplify exchange rate pressures",0
"The Fed’s policy should thus remain accommodative, including through its UMP, as benefits still outweigh the costs",1
"Where inflation targeting frameworks are already established, improving the transparency of instruments and policy objectives can provide further assurance that contractionary shocks will be absorbed.",0
"Notwithstanding conceptual difficulties in gauging effectiveness, central bank actions (as well as public interventions) have improved the functioning of money, foreign exchange, and commercial paper markets",0
and support for them and their banks provided via the ESM would relieve funding pressures and break the adverse feedback loops between sovereigns and banks,0
"Exchange rate flexibility, alongside credible macroeconomic policies and frameworks, has also proven to be an essential tool in coping with volatile capital flows",0
Monetary policy frameworks will also need to pay renewed attention to the role of asset prices and financial stability in the pursuit of their core mandates,0
"As some start exiting UMP, well-calibrated communication and cooperation will be key to avoid or manage bouts of financial market volatility",0
and more confidence in policymakers’ ability to act decisively,0
"Accommodative monetary policies remain essential in many advanced economies, given still sizable output gaps",1
"Current differences in monetary policy conditions could give rise to larger capital inflows to emerging market countries, accentuating the need for policies to encourage rebalancing the global sources of demand",0
"Achieving fiscal sustainability will be a difficult and prolonged process, making it imperative for consolidation to begin as soon as there is clear evidence of self-sustaining recovery",0
8 Where fiscal space is a constraint—for example because of particularly high levels of public debt or other concerns—consolidation efforts should be gradual and as growth-friendly as possible,0
"While approaches have differed, major central banks have acted effectively to support economic activity and credit creation",0
"China should build on recent efforts to address financial vulnerabilities by continuing regulatory/supervisory tightening, greater recognition of bad assets, more market-based credit allocation, and gradually reducing monetary policy accommodation if core inflation picks up",1
Requirements differ across countries,0
"An early agreement on credible medium-term deficit reduction would provide the space to fund investments in infrastructure, to raise productivity and innovation, and enhance workers’ skills",0
"In Japan, further monetary easing may also be needed to reach the 1 percent inflation goal",1
The pace of recapitalization needs to be accelerated in order to provide cushions against asset losses or shocks to liquidity,0
"In the United States, monetary policy normalization should continue to be gradual and data driven",1
"In those economies with broadly balanced external positions, monetary tightening may be complicated as it could attract capital inflows that undermine competitiveness",1
"In many advanced economies, the financial sector remains the Achilles heel of recovery prospects for private demand",0
"To forestall this adverse circuit, the ECB’s monetary policy should be highly accommodative, consistent with its mandate of ensuring price stability",1
"Emerging economies face starkly diverse cyclical positions, but the emphasis should generally be on enhancing resilience (as discussed below)",0
"In Japan, monetary policy has helped lift inflation and inflation expectations",0
"In emerging Europe, the scope for monetary easing has been limited by the risk of exacerbating capital outflows",1
"The Federal Reserve, Bank of England, and Bank of Japan should stand ready to continue or expand their deployment of unconventional measures, if needed",1
"Central banks have been at the forefront of the policy response to the recent global slowdown, and should continue supporting the recovery, while managing risks to price stability In advanced economies, monetary policy should remain very accommodative and central banks should stand ready to do more if needed",1
"As the priority in major advanced economies is to put in place sound medium-term fiscal programs, tightening monetary policies prematurely, as fiscal support is phased out, could undercut global recovery",1
"The unbalanced recovery across economies suggests that low inflation would pose challenges to central banks, although to a different degree",0
Comprehensive and ambitious consolidation plans and entitlement reform are instrumental given tradeoffs facing fiscal policy,0
"In emerging market economies, solid policy frameworks will be crucial",0
"Where inflation is still well below targets, monetary policy should remain expansionary, using all available instruments—for example, in Japan and the euro area",1
"With nominal policy rates still at or close to the zero lower bound in many economies, monetary policy must remain accommodative, including through unconventional measures, to reduce risks to activity from low inflation and prolonged weak demand",1
Further advancing the process of financial restructuring and balance sheet repair (including bank recapitalization) remains a priority to achieve a healthy financial system,0
"Forceful fiscal and monetary stimulus and financial sector support have helped ease financial stress and played an important role in supporting activity, but may need to be maintained for some time",0
"One such option could be a longer term LTRO combined with a review of current collateral policies, particularly on loans to SMEs",0
"Economies with external surpluses should provide room for monetary tightening by allowing currencies to appreciate, while economies with external deficits may need to consider tightening macroprudential measures or using capital flow management measures in conjunction with monetary tightening",0
"Some will have to strengthen their monetary frameworks to avert the possibility that depreciation will lead to persistently higher inflation and further depreciation, and to adapt to the prospects of a protracted deterioration in terms of trade",0
"Importantly, not all countries should adjust in the same way, to the same extent, or at the same time, lest their efforts become self-defeating",0
"An effective monetary policy communication strategy will remain essential, particularly in an environment of higher financial market volatility",0
"Reestablishing confidence and resolving the current crisis requires a cohesive, comprehensive, and cooperative package of policies across the G-20",0
"However, imbalances—based on current policy trajectories—are projected to widen again, signaling the need for further underlying adjustment",0
"In a majority of advanced countries, output gaps remain negative, weak labor markets threaten to permanently scar especially the young in the workforce, and inflation is low and far off target",0
"In countries facing too-low growth and too-high inflation, macroeconomic policies will have to weigh possible trade-offs",0
"A heavy reliance on unconventional monetary policy (UMP), for example, has had overall positive effects and has bought time but needs support from other policies to succeed",0
"In all but the most vulnerable countries, automatic stabilizers should be allowed to operate fully and, where stabilizers are small, temporary support (such as extended unemployment benefits or wage subsidies) could be continued",0
"In all but the most vulnerable countries, automatic stabilizers should be allowed to operate fully and, where stabilizers are small, temporary support (such as extended unemployment benefits or wage subsidies) could be continued",0
The effectiveness of the easing in Japan would be enhanced by broadening asset purchases to include more equities and corporate bonds and government bonds with longer maturities and by simultaneously adopting broad structural and fiscal reforms to achieve a sustained recovery,0
"Progress on medium-term fiscal reform would also help quell concerns about political pressure on central banks to keep interest rates too low longer than warranted, given the massive purchases by various central banks of government paper since 2008",0
"In the euro area, policymakers should work together to demonstrate their continuing commitment to the E.U",0
"Monetary policy can respond more quickly to achieve the desired level of overall stimulus, when fiscal retrenchment begins",0
"Policies that eliminate distortions to domestic demand in key emerging economies would strengthen prospects for external demand rebalancing, supporting a more robust recovery in both emerging and advanced economies",0
"Monetary policy can remain accommodative in the major advanced countries, but central banks need to prepare and clearly communicate credible strategies for unwinding the extraordinary monetary policy support",1
"The scale of fiscal adjustment required is large to ensure debt sustainability and to restore room for policy maneuver, particularly in advanced economies",0
"Vulnerabilities are currently masked by unusually accommodative monetary conditions, but the window of opportunity to prepare the financial system against potential systemic shocks could close unexpectedly",0
Monetary Policy: Accommodative in Advanced Economies,0
"Given excess capacity, recent signs that growth has slowed, and planned fiscal consolidation, current monetary policy accommodation should remain as long as medium-term inflation expectations remain well-anchored",0
"Given excess capacity, recent signs that growth has slowed, and planned fiscal consolidation, current monetary policy accommodation should remain as long as medium-term inflation expectations remain well-anchored",0
Efforts to increase revenue mobilization and improve expenditure prioritization should continue,0
Policy priorities are thus for a coherent macroeconomic policy mix with a credible nominal anchor and good communication,0
"An effective response requires strengthening supervision and macro-prudential frameworks, as well as addressing corporate and banking sector vulnerabilities",0
Reducing uncertainties surrounding “Brexit” would help reduce the risk of a protracted tightening of financial conditions,0
Reducing uncertainties surrounding “Brexit” would help reduce the risk of a protracted tightening of financial conditions,0
"If needed to support demand, fiscal policy— provided space is available—may be the appropriate tool in such cases.",0
Monetary policy should continue supporting demand given the still-large output gaps and ongoing fiscal consolidation,1
reducing credit spreads in the periphery) is essential to improve the transmission of monetary policy as well as foster sustainable growth,0
There is scope for lower ECB policy rates,0
"If downside risks materialize, the Federal Reserve, Bank of England, and Bank of Japan should stand ready to expand unconventional support",1
Clear communication of central bank intentions is vital to help avoid new financial excesses or abrupt reversals of capital flows,0
"To tackle structural imbalances, advanced excess-surplus economies should implement policies to reduce barriers to foreign competition and domestic investments in certain sectors, especially services, and to increase labor force participation of the elderly",0
"In Brazil, policymakers should stand ready to start unwinding monetary stimulus as the recovery proceeds in order to securely anchor inflation expectations",1
"In Brazil, policymakers should stand ready to start unwinding monetary stimulus as the recovery proceeds in order to securely anchor inflation expectations",0
"In particular, a Single Resolution Mechanism (SRM) based on an independent centralized authority, with efficient resolution powers— supported by a single resolution fund—would be necessary to ensure least cost and timely resolution",0
"With output gaps still large, and inflation running below target, accommodative monetary conditions remain essential for advanced economies, including in the United States, to avoid cyclical impediments to growth from becoming structural",1
"For most countries, fiscal consolidation should be a top priority, with monetary policy able to adjust more flexibly to achieve a desired level of overall stimulus",0
"In China, the monetary expansion has quickly fed through to the domestic economy and there may be a need to tighten credit conditions in the face of sharply rising credit growth and the potential for overinvestment",1
The challenges of placing fiscal policy on a sustainable path—both political and economic—are greater than for normalizing monetary policy,0
"In the United States, further repair of household balance sheets is needed, as middle- income households, who were hurt severely by the housing bust, have made limited progress in repairing their balance sheets",0
This strikes the right balance between demand support and debt reduction,0
Those commodity exporters that still have fiscal buffers should use them to smooth the adjustment to lower commodity prices,0
"Thus, policy tightening will have to continue",0
External rebalancing should continue,0
"Global imbalances have narrowed sharply after the crisis, reflecting some painful corrections and cyclical factors (see chart)",0
"There monetary policy tightening is needed, along with greater exchange rate flexibility and the use of macroprudential tools",1
Monetary policies in other G-20 advanced economies should remain highly accommodative,1
"Nonetheless, some economies (for example, Turkey) that rely heavily on private external financing will need to proactively further adjust policies",0
Japan’s newly announced easing measures to achieve a new 2 percent inflation target within 2 years are welcome but they need to be accompanied by ambitious growth and fiscal strategies to reduce risks and ensure sustained recovery that benefits Japan and other economies,0
"Indeed, a strategy of deploying all available tools can counter damaging perceptions that the policy space to use individual instruments might be limited",0
Countries should continue to rebuild monetary and fiscal policy space where it is limited—considering possible tradeoffs between building buffers and slowing growth—and strengthen policy frameworks where their credibility has come into question,0
The monetary policy stance needs to remain tight to ensure a durable reduction in inflation and inflation expectations,1
A quicker transition period for the mutualization of national contributions to the single resolution fund and a clearer decision on a common backstop and its timing are required to adequately break sovereign-bank links,0
Structural reforms are needed to raise potential output in both advanced and emerging economies,0
Financial policies need to secure stability and support recovery,0
"With shrinking fiscal buffers, many commodity exporters need to develop new growth models and tackle fiscal adjustment, including through reduced but more efficient public expenditures, stronger fiscal frameworks, and mobilizing new sources of revenues",0
"Given falling confidence and activity as well as well-anchored inflation expectations, monetary policy in advanced G-20 economies should remain very accommodative",1
1 This can be achieved even while central banks begin to withdraw the emergency support provided to banks and financial markets,0
"There is increasing divergence in the monetary policy stances between advanced and emerging economies, reflecting macroeconomic developments, while financial sector support has been extended in some European countries",0
"In the United States, while the recent bipartisan fiscal agreements was an important positive step, further fiscal efforts are needed to stabilize the debt-to-GDP ratio in the medium-term as interest rates gradually increase and the demographic transition intensifies",0
Fiscal positions should generally aim at rebuilding policy space,0
"In countries where fiscal adjustment is needed to avoid destabilizing debt dynamics and rebuild policy buffers, consolidation is appropriate and should be supported by growth-friendly measures (for example, in Italy)",0
"fiscal policy should ensure that the ratio of debt to GDP is on a downward path, while supporting the longer-term potential of the economy",0
"In India, more efforts are needed to continue reducing stubbornly high inflation and the large fiscal deficit",0
Policymakers should stand ready to act more aggressively should the impact of financial market turbulence and higher uncertainty threaten to materially weaken the global outlook,0
Deploying macro-prudential tools—which in some cases may require changes to regulatory and legal structures—is essential to limit financial risks and reduce the risk of monetary policy tightening not warranted by the cyclical position,0
"Specifically: In the United States, the main challenge is to reach the appropriate speed of monetary policy normalization, which is made difficult by uncertainties about the cyclical position and monetary transmission",1
"This includes paying interest on excess reserves, even while central bank balance sheets continue to provide support to some markets.",0
"In the United Kingdom, still accommodative monetary policy has been combined with macro- prudential tools to contain financial stability risks",0
"There is scope for better cooperation on unwinding UMP, especially through wider central bank discussions of exit plans",0
"The government should pursue fiscal consolidation by addressing rigidities and unsustainable mandates on the spending side, including in the social security system, and through tax measures and discretionary spending cuts to bolster fiscal results in the short run",0
"In some emerging economies (for example, Brazil, emerging Asia), owing to rapidly closing output gaps or concerns about credit quality, monetary accommodation is already being removed or will need be to be removed relatively soon",1
"Insufficient progress with repair and reform is weighing on credit, and slowing the normalization of monetary and fiscal policies, with adverse spillovers on emerging economies",0
Monetary policy tightening may also be necessary should inflation expectations worsen.,1
